20260701 022800;1.140260;1.140350;1.140260;1.140280;0
20260701 022900;1.140270;1.140290;1.140230;1.140230;0
20260701 023000;1.140250;1.140330;1.140250;1.140320;0
20260701 023100;1.140310;1.140460;1.140310;1.140400;0
20260701 023200;1.140410;1.140410;1.140320;1.140390;0
20260701 023300;1.140410;1.140450;1.140360;1.140370;0
20260701 023400;1.140380;1.140420;1.140350;1.140380;0
20260701 023500;1.140360;1.140360;1.140270;1.140290;0
20260701 023600;1.140310;1.140320;1.140300;1.140310;0
20260701 023700;1.140290;1.140380;1.140290;1.140360;0
20260701 023800;1.140350;1.140480;1.140340;1.140410;0
20260701 023900;1.140420;1.140450;1.140300;1.140310;0
20260701 024000;1.140300;1.140340;1.140230;1.140250;0
20260701 024100;1.140260;1.140260;1.140160;1.140160;0
20260701 024200;1.140200;1.140200;1.140060;1.140070;0
20260701 024300;1.140070;1.140100;1.140020;1.140060;0
20260701 024400;1.140050;1.140220;1.140030;1.140190;0
20260701 024500;1.140160;1.140210;1.140150;1.140200;0
20260701 024600;1.140220;1.140400;1.140210;1.140380;0
20260701 024700;1.140380;1.140410;1.140260;1.140270;0
20260701 024800;1.140250;1.140350;1.140240;1.140270;0
20260701 024900;1.140260;1.140270;1.140170;1.140240;0
20260701 025000;1.140250;1.140270;1.140210;1.140260;0
20260701 025100;1.140270;1.140280;1.140220;1.140230;0
20260701 025200;1.140240;1.140250;1.140190;1.140230;0
20260701 025300;1.140220;1.140280;1.140190;1.140220;0
20260701 025400;1.140230;1.140380;1.140210;1.140380;0
20260701 025500;1.140370;1.140380;1.140290;1.140350;0
20260701 025600;1.140330;1.140330;1.140240;1.140260;0
20260701 025700;1.140240;1.140330;1.140200;1.140320;0
20260701 025800;1.140350;1.140360;1.140300;1.140330;0
20260701 025900;1.140310;1.140320;1.140270;1.140300;0
20260701 030000;1.140280;1.140400;1.140000;1.140020;0
20260701 030100;1.140020;1.140090;1.139970;1.139980;0
20260701 030200;1.139970;1.140060;1.139810;1.139990;0
20260701 030300;1.139980;1.140160;1.139960;1.140000;0
20260701 030400;1.140010;1.140260;1.139970;1.140230;0
20260701 030500;1.140220;1.140260;1.140090;1.140150;0
20260701 030600;1.140170;1.140170;1.139910;1.139930;0
20260701 030700;1.139930;1.140040;1.139850;1.140030;0
20260701 030800;1.140020;1.140050;1.139900;1.139900;0
20260701 030900;1.139880;1.140030;1.139810;1.139810;0
20260701 031000;1.139810;1.139810;1.139640;1.139730;0
20260701 031100;1.139720;1.139840;1.139650;1.139650;0
20260701 031200;1.139660;1.139750;1.139660;1.139700;0
20260701 031300;1.139690;1.139760;1.139640;1.139660;0
20260701 031400;1.139670;1.139720;1.139600;1.139650;0
20260701 031500;1.139650;1.139720;1.139620;1.139630;0
20260701 031600;1.139630;1.139680;1.139570;1.139570;0
20260701 031700;1.139570;1.139610;1.139470;1.139490;0
20260701 031800;1.139480;1.139550;1.139440;1.139550;0
20260701 031900;1.139550;1.139550;1.139490;1.139500;0
20260701 032000;1.139490;1.139510;1.139450;1.139450;0
20260701 032100;1.139470;1.139550;1.139450;1.139500;0
20260701 032200;1.139480;1.139590;1.139480;1.139500;0
20260701 032300;1.139510;1.139510;1.139420;1.139450;0
20260701 032400;1.139460;1.139540;1.139460;1.139480;0
20260701 032500;1.139470;1.139490;1.139430;1.139470;0
20260701 032600;1.139480;1.139560;1.139410;1.139540;0
20260701 032700;1.139560;1.139560;1.139490;1.139500;0
20260701 032800;1.139500;1.139500;1.139340;1.139360;0
20260701 032900;1.139370;1.139400;1.139310;1.139320;0
